G3SBD3,H2Q407,1
G3SBD3,W5N1T9,1
G3SBD3,Q8BPM2,1
G3SBD3,W5NFJ2,1
G3SBD3,H2Q8A0,1
G3SBD3,Q8IVH8,1
G3SBD3,Q12851,1
G3SBD3,Q924I2,1
G3SBD3,Q9Y4K4,1
G3SBD3,H9ETH7,1
G3SBD3,Q99JP0,1
G3SBD3,W5N230,0.3957
G3SBD3,O94804,0.3553
G3SBD3,Q55GC2,0.3444
G3SBD3,K7C2M9,0.3354
G3SBD3,O55098,0.322
G3SBD3,W5MXV1,0.3077
Q12851,W5N1T9,1
Q12851,Q8BPM2,1
Q12851,W5NFJ2,1
Q12851,Q8IVH8,1
Q12851,Q924I2,1
Q12851,Q9Y4K4,1
Q12851,Q99JP0,1
Q12851,W5N230,0.3957
Q12851,Q55GC2,0.3444
Q12851,W5MXV1,0.3077
Q9Y4K4,W5N1T9,1
Q9Y4K4,W5NFJ2,1
Q9Y4K4,W5N230,0.3957
Q9Y4K4,W5MXV1,0.3077
H3GQ34,W5NF29,0.5519
H3GQ34,W5MXV1,0.5068
H3GQ34,Q55FS2,0.5027
H3GQ34,Q23356,0.4375
H3GQ34,Q55GC2,0.4233
H3GQ34,W5N230,0.3883
H3GQ34,O54988,0.3688
H3GQ34,O08815,0.3657
H3GQ34,P38692,0.3611
H3GQ34,T1ELQ9,0.3471
H3GQ34,Q0KHQ5,0.3373
H3GQ34,K7C2M9,0.3245
H3GQ34,O55098,0.3218
H3GQ34,O94804,0.3121
H3GQ34,Q9H2G2,0.3103
V5INC1,V5IQF9,0.6636
V5IQF9,W5NAK4,0.5059
V5IQF9,W5MXV1,0.3645
V5IQF9,W5N230,0.3379
A0A8I3MKW2,D3ZHL6,1
A0A8I3MKW2,G3SBD3,1
A0A8I3MKW2,H2Q407,1
A0A8I3MKW2,W5N1T9,1
A0A8I3MKW2,A0A8J0TLP7,1
A0A8I3MKW2,A0A8M9Q6N4,1
A0A8I3MKW2,Q8BPM2,1
A0A8I3MKW2,W5NFJ2,1
A0A8I3MKW2,H2Q8A0,1
A0A8I3MKW2,Q8IVH8,1
A0A8I3MKW2,Q12851,1
A0A8I3MKW2,Q924I2,1
A0A8I3MKW2,Q9Y4K4,1
A0A8I3MKW2,A0A8J1LNC0,1
A0A8I3MKW2,A0A8V0YTR2,1
A0A8I3MKW2,H9ETH7,1
A0A8I3MKW2,A0A8M9Q9K2,1
A0A8I3MKW2,A0A8I3Q602,1
A0A8I3MKW2,E1BJH5,1
A0A8I3MKW2,A0A8I3PP22,1
A0A8I3MKW2,G3QKE8,1
A0A8I3MKW2,E1B902,1
A0A8I3MKW2,B4F6N7,1
A0A8I3MKW2,A0A8V0ZA45,1
A0A8I3MKW2,A0A8J1KVP9,1
A0A8I3MKW2,Q99JP0,1
A0A8I3MKW2,W5N230,0.3957
A0A8I3MKW2,G3R9P8,0.3576
A0A8I3MKW2,O94804,0.3553
A0A8I3MKW2,Q55GC2,0.3444
A0A8I3MKW2,A0A9J7MN36,0.3427
A0A8I3MKW2,E9PTG8,0.3373
A0A8I3MKW2,K7C2M9,0.3354
A0A8I3MKW2,F1NBT0,0.3313
A0A8I3MKW2,A0A8V0YM96,0.3292
A0A8I3MKW2,O55098,0.322
A0A8I3MKW2,F6WV80,0.3211
A0A8I3MKW2,E1BK52,0.3202
A0A8I3MKW2,A0A8I3MYD5,0.3174
A0A8I3MKW2,F7G2G0,0.3155
A0A8I3MKW2,W5MXV1,0.3077
A0A8I3MKW2,B8A4S3,0.3068
A0A804LXF5,A0A804R630,0.5665
A0A804LXF5,A0A804PP28,0.5382
A0A804LXF5,Q9LDN6,0.5172
A0A804LXF5,Q7EZ29,0.5169
A0A804LXF5,A0A804QFI8,0.508
A0A804LXF5,Q67WX3,0.5075
A0A804LXF5,F4HPR9,0.5023
A0A804LXF5,E3L2V0,0.4976
A0A804LXF5,Q84WU5,0.4908
A0A804LXF5,F4IF81,0.4744
A0A804LXF5,H2L099,0.4637
A0A804LXF5,E3KRE3,0.4619
A0A804LXF5,Q8T0S6,0.4607
A0A804LXF5,A0A804NWZ8,0.451
A0A804LXF5,Q5KD75,0.4498
A0A804LXF5,O75011,0.4429
A0A804LXF5,Q9VEN3,0.425
A0A804LXF5,Q86IX1,0.3929
A0A804LXF5,A7E7I8,0.3882
A0A804LXF5,Q4QEZ0,0.3304
A0A8M2B8G6,F7AX97,0.7103
A0A8M2B8G6,D6WF74,0.6984
A0A8M2B8G6,A0A9J7HXF1,0.6861
A0A8M2B8G6,Q1RLZ2,0.638
A0A8M2B8G6,A0AB32U0S1,0.6203
A0A8M2B8G6,H2L9D7,0.6186
A0A8M2B8G6,T1G7E4,0.6039
A0A8M2B8G6,W5NAK4,0.5868
A0A8M2B8G6,Q23290,0.5556
A0A8M2B8G6,T1ELQ9,0.5466
A0A8M2B8G6,A0A8V0Y9Q1,0.5372
A0A8M2B8G6,D3Z8I4,0.5033
A0A8M2B8G6,Q61161,0.5011
A0A8M2B8G6,Q92918,0.4978
A0A8M2B8G6,V5INC1,0.4953
A0A8M2B8G6,P70218,0.4946
A0A8M2B8G6,F6YWC5,0.4921
A0A8M2B8G6,A0ABK0L1R9,0.456
A0A8M2B8G6,G3RUC7,0.4537
A0A8M2B8G6,V5IQF9,0.4511
A0A8M2B8G6,F6RUN6,0.4506
A0A8M2B8G6,A0NDB3,0.4401
A0A8M2B8G6,B7ZR30,0.4368
A0A8M2B8G6,A0A8M3B8F4,0.4329
A0A8M2B8G6,A9UUP0,0.4328
A0A8M2B8G6,A1ZBH7,0.4283
A0A8M2B8G6,E1BH31,0.426
A0A8M2B8G6,G3R5K0,0.425
A0A8M2B8G6,Q7SY52,0.422
A0A8M2B8G6,Q0IHQ8,0.4203
